,Date From,Date To,Name,Venue,Country,Category,Calendar,Class,EMail,Website
20,1/17/2025,1/19/2025,Santos Tour Down Under,,AUS,WE,MON,2.WWT,tourdownunder2@sa.gov.au; jess.sherwell@sa.gov.au,tourdownunder.com.au
22,1/21/2025,1/26/2025,Santos Tour Down Under,,AUS,ME,UWT,2.UWT,Tourdownunder2@sa.gov.au; jess.sherwell@sa.gov.au,www.tourdownunder.com.au
41,2/1/2025,2/1/2025,Cadel Evans Great Ocean Road Race - Women,,AUS,WE,MON,1.WWT,admin@cadelevansgreatoceanroadrace.com.au,www.cadelevansgreatoceanroadrace.com.au
43,2/2/2025,2/2/2025,Cadel Evans Great Ocean Road Race - Men,,AUS,ME,UWT,1.UWT,admin@cadelevansgreatoceanroadrace.com.au,www.cadelevansgreatoceanroadrace.com.au
49,2/6/2025,2/9/2025,UAE Tour Women,,UAE,WE,MON,2.WWT,f.damico@rcssportsandevents.com ; AAlyaqoubi@adsc.gov.ae,
68,2/17/2025,2/23/2025,UAE Tour,,UAE,ME,UWT,2.UWT,f.damico@rcssportsandevents.com;AAlyaqoubi@adsc.gov.ae,www.theuaetour.com
82,3/1/2025,3/1/2025,Omloop Nieuwsblad,,BEL,WE,MON,1.WWT,maja.leye@flandersclassics.be,www.omloopnieuwsblad.be
84,3/1/2025,3/1/2025,Omloop Nieuwsblad,,BEL,ME,UWT,1.UWT,nicolas.denys@flandersclassics.be,www.omloopnieuwsblad.be
100,3/8/2025,3/8/2025,Strade Bianche Donne,,ITA,WE,MON,1.WWT,giusy.virelli@rcs.it,www.strade-bianche.it
102,3/8/2025,3/8/2025,Strade Bianche,,ITA,ME,UWT,1.UWT,stefano.allocchio@rcs.it,www.strade-bianche.it
112,3/9/2025,3/16/2025,Paris-Nice,,FRA,ME,UWT,2.UWT,tgouvenou@aso.fr,www.letour.fr
113,3/10/2025,3/16/2025,Tirreno-Adriatico,,ITA,ME,UWT,2.UWT,stefano.allocchio@rcs.it,www.tirrenoadriatico.it
